source,target,evidence,iLIS,fdr
GstD1,GstD10,both,0.8267,FDR 1
GstD1,GstD5,both,0.819,FDR 1
GstD1,GstD3,diopt4,0.8188,FDR 1
GstD1,GstD9,both,0.8185,FDR 1
GstD1,GstD8,both,0.8174,FDR 1
GstD1,GstD4,both,0.8172,FDR 1
GstD1,GstD2,both,0.8149,FDR 1
GstD1,GstD11,diopt4,0.8127,FDR 1
GstD1,GstE9,diopt4,0.8106,FDR 1
GstD1,GstE1,diopt4,0.81,FDR 1
GstD1,GstE8,diopt4,0.8089,FDR 1
GstD1,GstE6,diopt4,0.807,FDR 1
GstD1,GstE7,diopt4,0.8063,FDR 1
GstD1,GstE4,diopt4,0.8061,FDR 1
GstD1,GstE2,diopt4,0.8039,FDR 1
GstD1,GstE13,diopt4,0.8035,FDR 1
GstD1,GstD7,both,0.803,FDR 1
GstD1,GstD6,diopt4,0.8018,FDR 1
GstD1,GstE5,diopt4,0.7992,FDR 1
GstD1,GstE12,diopt4,0.7985,FDR 1
GstD1,GstE3,diopt4,0.7958,FDR 1
GstD1,GstE10,diopt4,0.7932,FDR 1
GstD1,GstE14,diopt4,0.7849,FDR 1
GstD1,GstT1,diopt4,0.7814,FDR 1
GstD1,gfzf,diopt4,0.7759,FDR 1
GstD1,GstE11,diopt4,0.7646,FDR 1
GstD1,GstT2,diopt4,0.7281,FDR 1
GstD1,GstT3,diopt4,0.7062,FDR 1
GstD1,GstT4,diopt4,0.6113,FDR 1
GstD1,Drep1,diopt4,0.4918,FDR 5
GstD1,Oli,fly,0.2943,FDR 10
GstD1,GstO3,diopt4,0.2557,FDR 10
GstD10,GstD3,diopt4,0.8197,FDR 1
GstD10,GstD5,both,0.8182,FDR 1
GstD10,GstD9,both,0.8179,FDR 1
GstD10,GstD8,both,0.8149,FDR 1
GstD10,GstD4,both,0.8148,FDR 1
GstD10,GstD2,both,0.8113,FDR 1
GstD10,GstE1,diopt4,0.8112,FDR 1
GstD10,GstD11,diopt4,0.8098,FDR 1
GstD10,GstE8,diopt4,0.8086,FDR 1
GstD10,GstE9,diopt4,0.8085,FDR 1
GstD10,GstE4,diopt4,0.8076,FDR 1
GstD10,GstE6,diopt4,0.8065,FDR 1
GstD10,GstE13,diopt4,0.8043,FDR 1
GstD10,GstD6,diopt4,0.8033,FDR 1
GstD10,GstE2,diopt4,0.8033,FDR 1
GstD10,GstE7,diopt4,0.8029,FDR 1
GstD10,GstD7,both,0.8025,FDR 1
GstD10,GstE12,diopt4,0.799,FDR 1
GstD10,GstE5,diopt4,0.7985,FDR 1
GstD10,GstE3,diopt4,0.7976,FDR 1
GstD10,GstE10,diopt4,0.796,FDR 1
GstD10,GstE14,diopt4,0.7886,FDR 1
GstD10,GstE11,diopt4,0.7854,FDR 1
GstD10,GstT1,diopt4,0.7788,FDR 1
GstD10,gfzf,diopt4,0.775,FDR 1
GstD10,GstT3,diopt4,0.758,FDR 1
GstD10,GstT4,diopt4,0.7524,FDR 1
GstD10,GstT2,diopt4,0.7425,FDR 1
GstD10,GstO2,diopt4,0.4033,FDR 5
GstD3,GstD5,diopt4,0.8119,FDR 1
GstD3,GstD9,diopt4,0.8095,FDR 1
GstD3,GstD8,diopt4,0.8086,FDR 1
GstD3,GstE8,diopt4,0.808,FDR 1
GstD3,GstD4,diopt4,0.8078,FDR 1
GstD3,GstE4,diopt4,0.807,FDR 1
GstD3,GstE1,diopt4,0.807,FDR 1
GstD3,GstD11,diopt4,0.8064,FDR 1
GstD3,GstD2,diopt4,0.8056,FDR 1
GstD3,GstE9,diopt4,0.8054,FDR 1
GstD3,GstE7,diopt4,0.8042,FDR 1
GstD3,GstE6,diopt4,0.8022,FDR 1
GstD3,GstE5,diopt4,0.7997,FDR 1
GstD3,GstE2,diopt4,0.7954,FDR 1
GstD3,GstD7,diopt4,0.7946,FDR 1
GstD3,GstE13,diopt4,0.7912,FDR 1
GstD3,GstE10,diopt4,0.7909,FDR 1
GstD3,GstD6,diopt4,0.7903,FDR 1
GstD3,GstE3,diopt4,0.7902,FDR 1
GstD3,GstE12,diopt4,0.7863,FDR 1
GstD3,GstE11,diopt4,0.783,FDR 1
GstD3,GstE14,diopt4,0.78,FDR 1
GstD3,GstT1,diopt4,0.7789,FDR 1
GstD3,gfzf,diopt4,0.7609,FDR 1
GstD3,GstT2,diopt4,0.7405,FDR 1
GstD3,GstT3,diopt4,0.732,FDR 1
GstD3,GstT4,diopt4,0.5398,FDR 5
GstD3,GstO2,diopt4,0.2771,FDR 10
GstD3,Amt,diopt4,0.2454,FDR 10
GstD5,GstD8,both,0.807,FDR 1
GstD5,GstD9,both,0.8055,FDR 1
GstD5,GstD4,both,0.8052,FDR 1
GstD5,GstD2,both,0.8049,FDR 1
GstD5,GstE1,diopt4,0.8048,FDR 1
GstD5,GstD11,diopt4,0.8034,FDR 1
GstD5,GstE8,diopt4,0.8009,FDR 1
GstD5,GstE9,diopt4,0.7979,FDR 1
GstD5,GstE2,diopt4,0.7977,FDR 1
GstD5,GstE7,diopt4,0.797,FDR 1
GstD5,GstD6,diopt4,0.7969,FDR 1
GstD5,GstE6,diopt4,0.7959,FDR 1
GstD5,GstE4,diopt4,0.7958,FDR 1
GstD5,GstD7,both,0.7944,FDR 1
GstD5,GstE13,diopt4,0.7943,FDR 1
GstD5,GstE5,diopt4,0.7926,FDR 1
GstD5,GstE3,diopt4,0.7915,FDR 1
GstD5,GstE12,diopt4,0.788,FDR 1
GstD5,GstE10,diopt4,0.7849,FDR 1
GstD5,GstT1,diopt4,0.7741,FDR 1
GstD5,GstE14,diopt4,0.7707,FDR 1
GstD5,gfzf,diopt4,0.7603,FDR 1
GstD5,GstT3,diopt4,0.7564,FDR 1
GstD5,GstT4,diopt4,0.7533,FDR 1
GstD5,GstE11,diopt4,0.7529,FDR 1
GstD5,GstT2,diopt4,0.7077,FDR 1
GstD9,GstE1,diopt4,0.8069,FDR 1
GstD9,GstE4,diopt4,0.8047,FDR 1
GstD9,GstD4,both,0.8038,FDR 1
GstD9,GstE9,diopt4,0.8038,FDR 1
GstD9,GstD2,both,0.8037,FDR 1
GstD9,GstD11,diopt4,0.8034,FDR 1
GstD9,GstD8,both,0.8033,FDR 1
GstD9,GstE8,diopt4,0.8014,FDR 1
GstD9,GstE3,diopt4,0.7999,FDR 1
GstD9,GstE7,diopt4,0.7965,FDR 1
GstD9,GstE2,diopt4,0.7964,FDR 1
GstD9,GstD7,both,0.794,FDR 1
GstD9,GstE6,diopt4,0.791,FDR 1
GstD9,GstE5,diopt4,0.7909,FDR 1
GstD9,GstE13,diopt4,0.7903,FDR 1
GstD9,GstT1,diopt4,0.7867,FDR 1
GstD9,GstD6,diopt4,0.7851,FDR 1
GstD9,GstE12,diopt4,0.7785,FDR 1
GstD9,GstE14,diopt4,0.7755,FDR 1
GstD9,GstE10,diopt4,0.7731,FDR 1
GstD9,GstT2,diopt4,0.758,FDR 1
GstD9,gfzf,diopt4,0.7553,FDR 1
GstD9,GstE11,diopt4,0.742,FDR 1
GstD9,GstT3,diopt4,0.6641,FDR 1
GstD9,GstT4,diopt4,0.6021,FDR 1
GstD9,Amt,diopt4,0.388,FDR 5
Dlc90F,Dek,fly,0.3995,FDR 5
Dlc90F,prod,fly,0.2989,FDR 10
Dlc90F,MED19,fly,0.2311,FDR 10
GstD8,GstD2,both,0.8038,FDR 1
GstD8,GstD4,diopt4,0.8029,FDR 1
GstD8,GstE1,diopt4,0.7999,FDR 1
GstD8,GstD11,diopt4,0.7986,FDR 1
GstD8,GstE8,diopt4,0.7968,FDR 1
GstD8,GstE9,diopt4,0.796,FDR 1
GstD8,GstE13,diopt4,0.7904,FDR 1
GstD8,GstE7,diopt4,0.7904,FDR 1
GstD8,GstD7,both,0.7904,FDR 1
GstD8,GstD6,diopt4,0.7892,FDR 1
GstD8,GstE2,diopt4,0.7888,FDR 1
GstD8,GstE4,diopt4,0.7877,FDR 1
